now,published_at,price,house_type,size,living_size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,width,length,floors,property_status,apartment_type,pty_characteristics,land_type,size_unit,direction,commercial_type,floornumber,block,balconydirection,unitnumber,apartment_feature
2025-10-03T23:43:10.208844,Cập nhật 7 ngày trước,"7,95 tỷ","Nhà ngõ, hẻm",34 m²,34 m²,"233,82 triệu/m²",Đã có sổ,3 phòng,4 phòng,Nội thất cao cấp,4 m,9 m,5,,,,,,,,,,,,
2025-10-03T23:43:15.172138,Cập nhật 7 ngày trước,"13,8 tỷ","Nhà ngõ, hẻm",65 m²,,"212,31 triệu/m²",Đã có sổ,5 phòng,,Nội thất đầy đủ,,,,,,,,,,,,,,,
2025-10-03T23:43:15.898229,Cập nhật 9 ngày trước,"11,5 tỷ","Nhà ngõ, hẻm",44 m²,100 m²,"261,36 triệu/m²",Đã có sổ,4 phòng,3 phòng,Nội thất đầy đủ,56 m,,3,,,,,,,,,,,,
2025-10-03T23:43:27.715299,Cập nhật 8 ngày trước,"8,7 tỷ",,90 m²,,"96,67 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,,,,,Chưa bàn giao,Chung cư,,,,,,,,,,
2025-10-03T23:43:33.032891,Cập nhật 9 ngày trước,7 tỷ,"Nhà ngõ, hẻm",38 m²,,"184,21 triệu/m²",Đã có sổ,3 phòng,3 phòng,,,,,,,,,,,,,,,,
2025-10-03T23:43:33.069859,Cập nhật 8 ngày trước,18 tỷ,"Nhà ngõ, hẻm",57 m²,,"315,79 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Hẻm xe hơi
Nhà nở hậu",,,,,,,,,
2025-10-03T23:43:32.415632,Cập nhật 8 ngày trước,800 triệu,,100 m²,,8 triệu/m²,Đã có sổ,,,,,,,,,"Nở hậu
Mặt tiền
Thổ cư toàn bộ",Đất thổ cư,,,,,,,,
2025-10-03T23:43:33.133247,Cập nhật 4 ngày trước,5 tỷ,"Nhà ngõ, hẻm",32 m²,,"156,25 triệu/m²",Đã có sổ,3 phòng,4 phòng,,,,4,,,,,,,,,,,,
2025-10-03T23:43:46.026104,Cập nhật 9 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",33 m²,33 m²,"227,27 triệu/m²",Đã có sổ,3 phòng,,Nội thất cao cấp,6 m,5 m,,,,Nhà nở hậu,,,,,,,,,
2025-10-03T23:43:49.727433,Cập nhật 8 ngày trước,"13,8 tỷ","Nhà ngõ, hẻm",38 m²,,"363,16 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T23:43:53.365450,Cập nhật 7 ngày trước,"3,5 tỷ",,46.5 m²,,"75,27 triệu/m²",Đã có sổ,,,,,,,,,Thổ cư toàn bộ,Đất thổ cư,m²,,,,,,,
2025-10-03T23:44:02.457626,Cập nhật 7 ngày trước,4 tỷ,"Nhà ngõ, hẻm",20 m²,100 m²,200 triệu/m²,Đã có sổ,3 phòng,4 phòng,Hoàn thiện cơ bản,3 m,7 m,5,,,,,,Tây Bắc,,,,,,
2025-10-03T23:44:02.503828,Cập nhật 8 ngày trước,"9,9 tỷ","Nhà ngõ, hẻm",50 m²,50 m²,198 triệu/m²,Đã có sổ,4 phòng,4 phòng,Nội thất cao cấp,3.2 m,,4,,,"Hẻm xe hơi
Nhà nở hậu",,,Tây Nam,,,,,,
