now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,floors,property_status,apartment_type,floornumber,land_type,pty_characteristics,width,length,block,size_unit,living_size,unitnumber,commercial_type,direction,apartment_feature,balconydirection
2025-10-04T00:12:57.583293,Cập nhật 15 giờ trước,"7,8 tỷ","Nhà ngõ, hẻm",48 m²,"162,50 triệu/m²",Đã có sổ,4 phòng,5 phòng,Nội thất đầy đủ,6,,,,,,,,,,,,,,,
2025-10-04T00:12:58.562183,Cập nhật 7 ngày trước,"4,38 tỷ","Nhà ngõ, hẻm",32 m²,"136,88 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:13:00.342648,Cập nhật 8 ngày trước,"6,28 tỷ",,111 m²,"56,58 triệu/m²",Đang chờ sổ,3 phòng,2 phòng,,,Đã bàn giao,Chung cư,9,,,,,,,,,,,,
2025-10-04T00:13:00.404643,Cập nhật 1 ngày trước,"2,59 tỷ",,56.5 m²,"45,84 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,"Hẻm xe hơi
Thổ cư toàn bộ
Mặt tiền",7.3 m,7.7 m,Xuân Bách,m²,,,,,,
2025-10-04T00:13:02.598530,Cập nhật 5 giờ trước,"8,3 tỷ","Nhà ngõ, hẻm",43 m²,"193,02 triệu/m²",Đã có sổ,5 phòng,,,,,,,,,4 m,,,,,,,,,
2025-10-04T00:13:09.893384,Cập nhật 8 ngày trước,"8,6 tỷ","Nhà ngõ, hẻm",48 m²,"179,17 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:13:12.778474,Cập nhật 8 ngày trước,9 tỷ,,45 m²,200 triệu/m²,Đã có sổ,,,,,,,,Đất thổ cư,,4 m,11 m,,m²,,,,,,
2025-10-04T00:13:15.401679,Cập nhật 1 ngày trước,"15,2 tỷ","Nhà mặt phố, mặt tiền",50 m²,304 triệu/m²,Đã có sổ,6 phòng,5 phòng,,5,,,,,,,,,,50 m²,,,,,
2025-10-04T00:13:20.045899,Cập nhật 9 ngày trước,"6,4 tỷ",,75 m²,"85,33 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,4.3 m,,,,,,,,,
2025-10-04T00:13:20.189101,Cập nhật 9 ngày trước,"7,6 tỷ","Nhà ngõ, hẻm",39 m²,"194,87 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,,
2025-10-04T00:13:20.752655,Cập nhật 6 ngày trước,"1,35 tỷ","Nhà ngõ, hẻm",18 m²,75 triệu/m²,Không có sổ,2 phòng,,,3,,,,,,,,,,,,,,,
2025-10-04T00:13:22.040032,Cập nhật 8 ngày trước,8 tỷ,"Nhà ngõ, hẻm",35 m²,"228,57 triệu/m²",Đã có sổ,5 phòng,5 phòng,Nội thất cao cấp,7,,,,,Hẻm xe hơi,,,,,35 m²,,,,,
2025-10-04T00:13:22.561840,Cập nhật 8 ngày trước,"9,29 tỷ","Nhà ngõ, hẻm",38 m²,"244,47 triệu/m²",Đã có sổ,5 phòng,6 phòng,Nội thất cao cấp,7,,,,,,,,,,38 m²,,,,,
2025-10-04T00:13:28.134553,Cập nhật 7 ngày trước,"5,1 tỷ","Nhà ngõ, hẻm",32 m²,"159,38 triệu/m²",Đã có sổ,3 phòng,4 phòng,Hoàn thiện cơ bản,5,,,,,,,,,,,,,,,
2025-10-04T00:13:28.456338,Cập nhật 8 ngày trước,"14,5 tỷ",,300 m²,"48,33 triệu/m²",Đã có sổ,,,,,,,,Đất thổ cư,Mặt tiền Thổ cư toàn bộ,12 m,25 m,Khu TĐC Linh Sơn Bình Yên,m²,,23,,,,
2025-10-04T00:13:28.872092,Cập nhật 6 ngày trước,15 tỷ,"Nhà ngõ, hẻm",55 m²,"272,73 triệu/m²",Đã có sổ,3 phòng,,,,,,,,Hẻm xe hơi,,,,,,,,,,
2025-10-04T00:13:29.942960,Cập nhật 7 ngày trước,"12,8 tỷ",,80 m²,160 triệu/m²,Đã có sổ,,,,,,,,,,,,,,,,Mặt bằng kinh doanh,,,
