now,published_at,price,property_status,apartment_type,size,price_m2,property_legal_document,rooms,toilets,furnishing_sell,land_type,direction,pty_characteristics,width,length,house_type,floors,block,unitnumber,size_unit,living_size,apartment_feature,commercial_type,balconydirection,floornumber
2025-10-02T23:48:00.354209,Cập nhật 7 ngày trước,"3,5 tỷ",Đã bàn giao,"Tập thể, cư xá",68 m²,"51,47 triệu/m²",Sổ hồng riêng,2 phòng,1 phòng,Nội thất đầy đủ,,,,,,,,,,,,,,,
2025-10-02T23:48:00.944912,Cập nhật 6 ngày trước,"4,19 tỷ",,,42 m²,"99,76 triệu/m²",Đã có sổ,,,,Đất thổ cư,Nam,Mặt tiền Hẻm xe hơi Thổ cư toàn bộ,4.5 m,10 m,,,,,,,,,,
2025-10-02T23:48:00.567113,Cập nhật 16 giờ trước,"20,5 tỷ",,,58 m²,"353,45 triệu/m²",Đã có sổ,10 phòng,Nhiều hơn 6 phòng,Nội thất đầy đủ,,,,,,"Nhà mặt phố, mặt tiền",7,,,,,,,,
2025-10-02T23:48:01.900192,Cập nhật 6 ngày trước,"10,9 tỷ",,,84 m²,"129,76 triệu/m²",Đã có sổ,,,,Đất thổ cư,,Mặt tiền,4 m,21 m,,,Mặt đường đại áng,414,m²,,,,,
2025-10-02T23:48:02.279998,Cập nhật 7 ngày trước,7 tỷ,,,20 m²,350 triệu/m²,Đã có sổ,3 phòng,,Nội thất đầy đủ,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:48:10.148097,Cập nhật 7 ngày trước,"7,1 tỷ",,,34 m²,"208,82 triệu/m²",Đã có sổ,3 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:48:10.532962,Cập nhật 8 ngày trước,"3,9 tỷ",Đã bàn giao,Chung cư,60 m²,65 triệu/m²,Đang chờ sổ,2 phòng,,,,,,,,,,,,,,,,,
2025-10-02T23:48:10.644747,Cập nhật 8 ngày trước,58 tỷ,,,90 m²,"644,44 triệu/m²",Đã có sổ,4 phòng,,Nội thất đầy đủ,,,Hẻm xe hơi,5.5 m,,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-02T23:48:11.771734,Cập nhật 6 ngày trước,"4,95 tỷ",,,42 m²,"117,86 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà mặt phố, mặt tiền",,,,,,,,,
2025-10-02T23:48:11.842634,Cập nhật 7 ngày trước,4 tỷ,,,32 m²,125 triệu/m²,Giấy tờ viết tay,3 phòng,2 phòng,,,,,,,"Nhà ngõ, hẻm",3,,,,32 m²,,,,
2025-10-02T23:48:18.813525,Cập nhật 7 ngày trước,"7,4 tỷ",,,33 m²,"224,24 triệu/m²",Đã có sổ,4 phòng,,,,,,,,"Nhà ngõ, hẻm",,,,,,,,,
2025-10-02T23:48:20.014322,Cập nhật 3 ngày trước,19 tỷ,,,70 m²,"271,43 triệu/m²",Đã có sổ,,,,Đất thổ cư,Nam,Hẻm xe hơi,5 m,14 m,,,,,,,,,,
2025-10-02T23:48:20.024990,Cập nhật 7 ngày trước,"11,2 tỷ",Đã bàn giao,Chung cư,104 m²,"107,69 triệu/m²",Sổ hồng riêng,3 phòng,2 phòng,Nội thất cao cấp,,,,,,,,,,,,Căn góc,,,
2025-10-02T23:48:23.993238,Cập nhật 5 ngày trước,"3,85 tỷ",Đã bàn giao,"Tập thể, cư xá",75 m²,"51,33 triệu/m²",Sổ hồng riêng,2 phòng,2 phòng,Nội thất cao cấp,,,,,,,,,,,,,,,
2025-10-02T23:48:22.975420,Cập nhật 8 ngày trước,"7,48 tỷ",,,32.7 m²,"228,75 triệu/m²",Đã có sổ,3 phòng,3 phòng,Nội thất đầy đủ,,Đông,Nhà nở hậu Hẻm xe hơi,8.7 m,3.7 m,"Nhà ngõ, hẻm",3,,,,39 m²,,,,
2025-10-02T23:48:26.885017,Cập nhật 5 ngày trước,"16,9 tỷ",,,60 m²,"281,67 triệu/m²",Đã có sổ,4 phòng,,,,,Hẻm xe hơi Nhà nở hậu,5.12 m,,"Nhà ngõ, hẻm",6,,,,60 m²,,,,
2025-10-02T23:48:29.267003,Cập nhật 6 ngày trước,"4,45 tỷ",,,59 m²,"75,42 triệu/m²",Đang chờ sổ,2 phòng,2 phòng,Hoàn thiện cơ bản,,,,4.5 m,,"Nhà ngõ, hẻm",3,,,,59 m²,,,,
2025-10-02T23:48:29.563157,Cập nhật 6 ngày trước,7 tỷ,,,50 m²,140 triệu/m²,Đã có sổ,,,,Đất thổ cư,,Hẻm xe hơi Nở hậu,5.2 m,,,,,,m²,,,,,
2025-10-02T23:48:34.554606,Cập nhật 3 ngày trước,4 tỷ,Đã bàn giao,"Tập thể, cư xá",100 m²,40 triệu/m²,Sổ hồng riêng,4 phòng,2 phòng,Nội thất đầy đủ,,,,,,,,,,,,,,,
