now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,furnishing_sell,floors,toilets,pty_characteristics,width,land_type,direction,length,block,size_unit,living_size,property_status,apartment_type,balconydirection,floornumber,apartment_feature,commercial_type
2025-10-03T07:42:12.851713,Cập nhật 1 ngày trước,"8,6 tỷ","Nhà ngõ, hẻm",39 m²,"220,51 triệu/m²",Đã có sổ,4 phòng,Nội thất cao cấp,6,,,,,,,,,,,,,,,
2025-10-03T07:42:13.809274,Cập nhật 6 ngày trước,"13,8 tỷ","Nhà ngõ, hẻm",38 m²,"363,16 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,4,3 phòng,Nhà nở hậu,6.15 m,,,,,,,,,,,,
2025-10-03T07:42:15.398874,Cập nhật 6 ngày trước,"2,4 tỷ",,44 m²,"54,55 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi",3.5 m,Đất thổ cư,Bắc,14 m,Đất thổ cư phường Chương Mỹ,m²,,,,,,,
2025-10-03T07:42:22.315164,Cập nhật 8 ngày trước,"5,2 tỷ","Nhà ngõ, hẻm",30.5 m²,"170,49 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,3 phòng,Nhà nở hậu,3.6 m,,,10 m,,,30.5 m²,,,,,,
2025-10-03T07:42:33.084993,Cập nhật 4 ngày trước,"14,8 tỷ","Nhà mặt phố, mặt tiền",52 m²,"284,62 triệu/m²",Đã có sổ,4 phòng,,,,Nhà nở hậu,,,,,,,,,,,,,
2025-10-03T07:42:39.867733,Cập nhật 7 ngày trước,6 tỷ,"Nhà mặt phố, mặt tiền",42 m²,"142,86 triệu/m²",Đã có sổ,4 phòng,,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:42:41.993915,Cập nhật 8 ngày trước,"8,15 tỷ","Nhà ngõ, hẻm",34 m²,"239,71 triệu/m²",Đã có sổ,4 phòng,Nội thất đầy đủ,5,5 phòng,Nhà nở hậu,3.9 m,,,,,,34 m²,,,,,,
2025-10-03T07:42:44.767267,Cập nhật 7 ngày trước,"14,11 tỷ",,91 m²,"155,05 triệu/m²",Đã có sổ,,,,,"Mặt tiền
Hẻm xe hơi
Thổ cư toàn bộ",6.7 m,Đất thổ cư,,,,,,,,,,,
2025-10-03T07:42:56.134975,Cập nhật 7 ngày trước,"5,3 tỷ","Nhà ngõ, hẻm",33 m²,"160,61 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:42:57.291240,Cập nhật 4 ngày trước,5 tỷ,"Nhà ngõ, hẻm",32 m²,"156,25 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:43:12.419916,Cập nhật 8 ngày trước,"3,856 tỷ",,160 m²,"24,10 triệu/m²",Đã có sổ,,,,,,8 m,Đất thổ cư,,20 m,,m²,,,,,,,
2025-10-03T07:43:26.006114,Cập nhật 7 ngày trước,"6,8 tỷ","Nhà ngõ, hẻm",35 m²,"194,29 triệu/m²",Đã có sổ,3 phòng,,5,4 phòng,,,,,,,,,,,,,,
2025-10-03T07:43:36.732112,Cập nhật 7 ngày trước,"8,2 tỷ","Nhà mặt phố, mặt tiền",44 m²,"186,36 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,,,,
2025-10-03T07:43:41.579373,Cập nhật 7 ngày trước,"3,85 tỷ",,35 m²,110 triệu/m²,Đã có sổ,,,,,,4 m,Đất thổ cư,Đông Nam,9 m,,m²,,,,,,,
