now,published_at,price,land_type,size,price_m2,property_legal_document,pty_characteristics,width,size_unit,direction,length,house_type,rooms,toilets,furnishing_sell,floors,living_size,property_status,apartment_type,block,commercial_type,floornumber,apartment_feature,property_back_condition,street_id,unitnumber,balconydirection
2025-10-04T12:21:31.240544,Cập nhật 8 ngày trước,378 tỷ,Đất thổ cư,1073 m²,"352,28 triệu/m²",Đã có sổ,"Mặt tiền
Nở hậu",25 m,m²,,,,,,,,,,,,,,,,,,
2025-10-04T12:21:34.211771,Cập nhật 10 ngày trước,"1,85 tỷ",Đất thổ cư,133 m²,"13,91 triệu/m²",Đã có sổ,"Mặt tiền
Nở hậu
Thổ cư toàn bộ",6 m,m²,Nam,23 m,,,,,,,,,,,,,,,,
2025-10-04T12:21:35.461269,Cập nhật 7 ngày trước,10 tỷ,,31 m²,"322,58 triệu/m²",Đã có sổ,"Hẻm xe hơi
Nhà nở hậu",3.6 m,,,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Nội thất cao cấp,5,,,,,,,,,,,
2025-10-04T12:21:33.650538,Cập nhật 8 ngày trước,"12,8 tỷ",,39 m²,"328,21 triệu/m²",Đã có sổ,Hẻm xe hơi,3.9 m,,,10 m,"Nhà ngõ, hẻm",3 phòng,5 phòng,,7,39 m²,,,,,,,,,,
2025-10-04T12:21:37.269732,Cập nhật 8 ngày trước,"17,9 tỷ",,42 m²,"426,19 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",3 phòng,3 phòng,,4,,,,,,,,,,,
2025-10-04T12:21:51.319143,Cập nhật 8 ngày trước,"4,7 tỷ",,20 m²,235 triệu/m²,Đã có sổ,,4 m,,,5 m,"Nhà ngõ, hẻm",3 phòng,3 phòng,Nội thất đầy đủ,6,20 m²,,,,,,,,,,
2025-10-04T12:21:51.343397,Cập nhật 6 ngày trước,"4,68 tỷ",,70 m²,"66,86 triệu/m²",Sổ hồng riêng,,,,,,,2 phòng,1 phòng,Nội thất cao cấp,,,Đã bàn giao,"Tập thể, cư xá",,,,,,,,
2025-10-04T12:21:53.167547,Cập nhật 8 ngày trước,"6,9 tỷ",,31 m²,"222,58 triệu/m²",Đã có sổ,,,,,,"Nhà ngõ, hẻm",4 phòng,,,,,,,,,,,,,,
2025-10-04T12:21:53.577402,Cập nhật 8 ngày trước,"8,4 tỷ",,38 m²,"221,05 triệu/m²",Đã có sổ,"Hẻm xe hơi
Nhà nở hậu",3 m,,Tây Bắc,,"Nhà ngõ, hẻm",3 phòng,4 phòng,Hoàn thiện cơ bản,5,38 m²,,,,,,,,,,
2025-10-04T12:22:03.447514,Cập nhật 9 ngày trước,"18,9 tỷ",Đất thổ cư,2156 m²,"8,77 triệu/m²",Đã có sổ,"Mặt tiền
Nở hậu",,m²,,,,,,,,,,,Phú mãn- Quốc Oai - Hà Nội,,,,,,,
2025-10-04T12:22:09.373523,Cập nhật 7 ngày trước,"7,6 tỷ",,43 m²,"176,74 triệu/m²",Đã có sổ,,,,,,"Nhà mặt phố, mặt tiền",4 phòng,,,,,,,,,,,,,,
2025-10-04T12:22:09.951428,Cập nhật 8 ngày trước,"3,59 tỷ",,75 m²,"47,87 triệu/m²",Đã có sổ,Hẻm xe hơi,4 m,,,15 m,"Nhà mặt phố, mặt tiền",3 phòng,2 phòng,Nội thất đầy đủ,3,75 m²,,,,,,,,,,
