now,published_at,price,house_type,size,price_m2,property_legal_document,rooms,living_size,toilets,furnishing_sell,pty_characteristics,width,length,floors,property_status,apartment_type,floornumber,land_type,block,size_unit,direction
2025-09-28T16:57:25.550950,Cập nhật 2 ngày trước,"4,38 tỷ","Nhà ngõ, hẻm",32 m²,"136,88 triệu/m²",Đã có sổ,3 phòng,,,,,,,,,,,,,,
2025-09-28T16:57:33.613957,Cập nhật 3 ngày trước,"12,3 tỷ","Nhà ngõ, hẻm",41 m²,300 triệu/m²,Đã có sổ,3 phòng,130 m²,3 phòng,Nội thất đầy đủ,Hẻm xe hơi,4.5 m,9.1 m,3,,,,,,,
2025-09-28T16:57:34.973366,Cập nhật 2 ngày trước,"6,28 tỷ",,111 m²,"56,58 triệu/m²",Đang chờ sổ,3 phòng,,2 phòng,,,,,,Đã bàn giao,Chung cư,9,,,,
2025-09-28T16:57:38.309810,Cập nhật 1 ngày trước,"7,5 tỷ","Nhà ngõ, hẻm",48 m²,"156,25 triệu/m²",Đã có sổ,4 phòng,,5 phòng,Nội thất đầy đủ,,,,6,,,,,,,
2025-09-28T16:57:39.958404,Cập nhật 3 giờ trước,"2,59 tỷ",,56.5 m²,"45,84 triệu/m²",Đã có sổ,,,,,"Hẻm xe hơi
Thổ cư toàn bộ
Mặt tiền",7.3 m,7.7 m,,,,,Đất thổ cư,Xuân Bách,m²,
2025-09-28T16:57:40.149575,Cập nhật 3 ngày trước,"8,3 tỷ","Nhà ngõ, hẻm",43 m²,"193,02 triệu/m²",Đã có sổ,5 phòng,,,,,4 m,,,,,,,,,
2025-09-28T16:57:42.939647,Cập nhật 2 ngày trước,"8,6 tỷ","Nhà ngõ, hẻm",48 m²,"179,17 triệu/m²",Đã có sổ,4 phòng,,,,,,,,,,,,,,
2025-09-28T16:57:44.296138,Cập nhật 2 ngày trước,9 tỷ,,45 m²,200 triệu/m²,Đã có sổ,,,,,,4 m,11 m,,,,,Đất thổ cư,,m²,
2025-09-28T16:57:49.330689,Cập nhật 2 giờ trước,"12,5 tỷ","Nhà ngõ, hẻm",52.5 m²,"238,10 triệu/m²",Đã có sổ,6 phòng,,6 phòng,Nội thất cao cấp,,3.6 m,,5,,,,,,,Tây
2025-09-28T16:57:50.861607,Cập nhật 40 phút trước,"15,2 tỷ","Nhà mặt phố, mặt tiền",50 m²,304 triệu/m²,Đã có sổ,6 phòng,50 m²,5 phòng,,,,,5,,,,,,,
